1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
7505;Passeriformes;Perching Birds;Tättingar;Pnoepygidae;Wren-babblers;Kupvingar
7511;Passeriformes;Perching Birds;Tättingar;Macrosphenidae;Crombecs, African Warblers;Långnäbbar
7530;Passeriformes;Perching Birds;Tättingar;Cettiidae;Cettia Bush Warblers and allies;Cettisångare
7563;Passeriformes;Perching Birds;Tättingar;Scotocercidae;Streaked Scrub Warbler ;Snårsångare
7565;Passeriformes;Perching Birds;Tättingar;Erythrocercidae;Yellow Flycatchers;Spretstjärtar
7569;Passeriformes;Perching Birds;Tättingar;Incertae Sedis 1;Family Uncertain;Incertae sedis 1
7573;Passeriformes;Perching Birds;Tättingar;Aegithalidae;Bushtits;Stjärtmesar
7587;Passeriformes;Perching Birds;Tättingar;Phylloscopidae;Leaf Warblers and allies;Lövsångare
7665;Passeriformes;Perching Birds;Tättingar;Acrocephalidae;Reed Warblers and allies;Rörsångare
7727;Passeriformes;Perching Birds;Tättingar;Locustellidae;Grassbirds and allies;Gräsfåglar
7788;Passeriformes;Perching Birds;Tättingar;Donacobiidae;Black-capped Donacobius ;Donakobier
7790;Passeriformes;Perching Birds;Tättingar;Bernieridae;Malagasy Warblers;Madagaskarsångare
7802;Passeriformes;Perching Birds;Tättingar;Cisticolidae;Cisticolas and allies;Cistikolor
7961;Passeriformes;Perching Birds;Tättingar;Timaliidae;Babblers;Timalior
8017;Passeriformes;Perching Birds;Tättingar;Pellorneidae;Fulvettas, Ground Babblers;Marktimalior
8088;Passeriformes;Perching Birds;Tättingar;Leiothrichidae;Laughingthrushes;Fnittertrastar
8222;Passeriformes;Perching Birds;Tättingar;Sylviidae;Sylviid Babblers;Sylvider
8292;Passeriformes;Perching Birds;Tättingar;Zosteropidae;White-eyes;Glasögonfåglar
8421;Passeriformes;Perching Birds;Tättingar;Arcanatoridae;Dapple-throat and allies;Fläckhakar
8425;Passeriformes;Perching Birds;Tättingar;Promeropidae;Sugarbirds;Sockerfåglar
8428;Passeriformes;Perching Birds;Tättingar;Irenidae;Fairy-bluebirds;Blåfåglar
8431;Passeriformes;Perching Birds;Tättingar;Regulidae;Goldcrests, Kinglets;Kungsfåglar
8438;Passeriformes;Perching Birds;Tättingar;Elachuridae;Elachuras;Pärlsmygar
8440;Passeriformes;Perching Birds;Tättingar;Hyliotidae;Hyliotas;Hyliotor
8445;Passeriformes;Perching Birds;Tättingar;Troglodytidae;Wrens;Gärdsmygar
8530;Passeriformes;Perching Birds;Tättingar;Polioptilidae;Gnatcatchers;Myggsnappare
8549;Passeriformes;Perching Birds;Tättingar;Sittidae;Nuthatches;Nötväckor
8578;Passeriformes;Perching Birds;Tättingar;Tichodromidae;Wallcreeper;Murkrypare
8580;Passeriformes;Perching Birds;Tättingar;Certhiidae;Treecreepers;Trädkrypare
8592;Passeriformes;Perching Birds;Tättingar;Mimidae;Mockingbirds, Thrashers;Härmtrastar
8627;Passeriformes;Perching Birds;Tättingar;Sturnidae;Starlings, Rhabdornis;Starar
